Nombre;APELLIDOS;USUARIO;CORREO;PUESTO;DEPARTAMENTO;PROVINCIA;Telefono_T;NUEVAS;LOCAL;REMOTO
ANA;MARTINEZ RUIZ;Ana.m;amartinez@contoso.com;ADMINISTRATIVO CONTABLE;FINANZAS;SEVILLA;999 999 999;X;X;X
CARLOS;LOPEZ SANCHEZ;Carlos.l;clopez@contoso.com;ADMINISTRATIVO CONTABLE;FINANZAS;VALENCIA;999 999 999;X;X;
LAURA;GOMEZ FERNANDEZ;Laura.g;lgomez@contoso.com;ADMINISTRATIVO CONTABLE;FINANZAS;ALICANTE;999 999 999;X;;X
DAVID;PEREZ DIAZ;David.p;dperez@contoso.com;ADMINISTRATIVO CONTABLE;FINANZAS;MALAGA;999 999 999;X;X;X
ELENA;RODRIGUEZ MORENO;Elena.r;erodriguez@contoso.com;GERENTE DE VENTAS;VENTAS;SEVILLA;999 999 999;X;;
PEDRO;SANCHEZ BLANCO;Pedro.s;psanchez@contoso.com;GERENTE DE VENTAS;VENTAS;VALENCIA;999 999 999;X;X;
CARMEN;ROMERO ALVAREZ;Carmen.r;cromero@contoso.com;GERENTE DE VENTAS;VENTAS;ALICANTE;999 999 999;X;X;X
MIGUEL;ALONSO BLANCO;Miguel.a;malonso@contoso.com;GERENTE DE VENTAS;VENTAS;MALAGA;999 999 999;X;;
SARA;NAVARRO MARIN;Sara.n;snavarro@contoso.com;GERENTE DE VENTAS;VENTAS;SEVILLA;999 999 999;X;X;X
JAVIER;TORRES IGLESIAS;Javier.t;jtorres@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;VALENCIA;999 999 999;X;;X
LUCIA;RAMOS CRUZ;Lucia.r;lramos@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;ALICANTE;999 999 999;X;X;X
RAUL;ORTIZ VAZQUEZ;Raul.o;rortiz@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;MALAGA;999 999 999;X;X;
ALBA;CASTRO GARRIDO;Alba.c;acastro@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;SEVILLA;999 999 999;X;X;X
JORGE;RUBIO MOLINA;Jorge.r;jrubio@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;VALENCIA;999 999 999;X;;X
NURIA;DELGADO MORALES;Nuria.d;ndelgado@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;ALICANTE;999 999 999;X;X;X
PABLO;SUAREZ ORTEGA;Pablo.s;psuarez@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;MALAGA;999 999 999;X;;X
MARTA;BLANCO MARIN;Marta.b;mblanco@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;SEVILLA;999 999 999;X;X;X
DIEGO;GARRIDO CORTES;Diego.g;dgarrido@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;VALENCIA;999 999 999;X;X;X
CLARA;IGLESIAS GIMENEZ;Clara.i;ciglesias@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;ALICANTE;999 999 999;X;;
RUBEN;CRUZ PASCUAL;Ruben.c;rcruz@contoso.com;DIRECTOR DE PROYECTO;OPERACIONES;MALAGA;999 999 999;X;X;X
ISABEL;MOLINA REYES;Isabel.m;imolina@contoso.com;RESPONSABLE DE LOGISTICA;OPERACIONES;SEVILLA;999 999 999;X;X;X
ANDRES;MORALES CABALLERO;Andres.m;amorales@contoso.com;COORDINADOR DE OPERACIONES;OPERACIONES;VALENCIA;999 999 999;X;;X
BEATRIZ;ORTEGA NIETO;Beatriz.o;bortega@contoso.com;ANALISTA DE MERCADO;MARKETING;ALICANTE;999 999 999;X;X;X
MARCOS;CORTES AGUILAR;Marcos.c;mcortes@contoso.com;ESPECIALISTA DE SOPORTE;OPERACIONES;MALAGA;999 999 999;X;X;X
